iter	Passed	Remaining
1484	12400	71105
1485	12408	71096
1486	12416	71084
1487	12425	71077
1488	12433	71066
1489	12440	71055
1490	12449	71050
1491	12457	71040
1492	12466	71030
1493	12474	71021
1494	12482	71011
1495	12490	71002
1496	12498	70991
1497	12506	70981
1498	12514	70971
1499	12522	70959
1500	12530	70949
1501	12538	70939
1502	12546	70928
1503	12554	70920
1504	12563	70912
1505	12570	70900
1506	12579	70891
1507	12589	70895
1508	12599	70893
1509	12608	70893
1510	12619	70896
1511	12628	70892
1512	12636	70882
1513	12644	70873
1514	12652	70862
1515	12660	70852
1516	12668	70842
1517	12676	70832
1518	12684	70822
1519	12692	70811
1520	12701	70803
1521	12709	70795
1522	12717	70786
1523	12726	70778
1524	12734	70770
1525	12742	70760
1526	12750	70752
1527	12758	70742
1528	12767	70735
1529	12775	70725
1530	12783	70715
1531	12791	70704
1532	12799	70694
1533	12807	70683
1534	12816	70676
1535	12824	70667
1536	12832	70657
1537	12840	70649
1538	12848	70637
1539	12856	70627
1540	12864	70617
1541	12873	70609
1542	12881	70601
1543	12889	70592
1544	12897	70582
1545	12905	70571
1546	12913	70563
1547	12922	70553
1548	12930	70543
1549	12938	70533
1550	12947	70529
1551	12956	70525
1552	12964	70517
1553	12973	70508
1554	12981	70499
1555	12989	70489
1556	12997	70480
1557	13005	70470
1558	13013	70460
1559	13022	70453
1560	13029	70441
1561	13038	70433
1562	13046	70426
1563	13055	70417
1564	13063	70406
1565	13071	70396
1566	13079	70387
1567	13087	70377
1568	13095	70369
1569	13103	70358
1570	13111	70349
1571	13119	70339
1572	13127	70329
1573	13135	70319
1574	13143	70309
1575	13151	70298
1576	13160	70290
1577	13168	70279
1578	13176	70269
1579	13184	70259
1580	13192	70249
1581	13200	70239
1582	13208	70231
1583	13216	70222
1584	13225	70214
1585	13233	70204
1586	13241	70197
1587	13249	70187
1588	13258	70178
1589	13266	70170
1590	13274	70160
1591	13282	70150
1592	13290	70142
1593	13299	70134
1594	13307	70124
1595	13315	70113
1596	13323	70103
1597	13331	70093
1598	13339	70082
1599	13347	70073
1600	13355	70063
1601	13363	70055
1602	13371	70045
1603	13379	70034
1604	13387	70024
1605	13395	70014
1606	13403	70003
1607	13412	69997
1608	13420	69987
1609	13428	69978
1610	13436	69968
1611	13444	69958
1612	13452	69947
1613	13460	69938
1614	13468	69927
1615	13476	69917
1616	13484	69908
1617	13492	69898
1618	13500	69887
1619	13508	69877
1620	13516	69866
1621	13524	69855
1622	13532	69844
1623	13540	69834
1624	13548	69824
1625	13556	69815
1626	13564	69804
1627	13572	69794
1628	13580	69784
1629	13588	69775
1630	13596	69766
1631	13604	69755
1632	13612	69745
1633	13620	69734
1634	13627	69722
1635	13635	69713
1636	13644	69703
1637	13651	69692
1638	13659	69683
1639	13668	69674
1640	13676	69664
1641	13684	69654
1642	13692	69644
1643	13700	69633
1644	13708	69626
1645	13716	69615
1646	13726	69615
1647	13737	69621
1648	13748	69625
1649	13758	69627
1650	13770	69637
1651	13781	69640
1652	13795	69660
1653	13805	69662
1654	13817	69670
1655	13828	69679
1656	13844	69705
1657	13858	69728
1658	13868	69729
1659	13876	69719
1660	13887	69723
1661	13897	69724
1662	13906	69717
1663	13916	69717
1664	13925	69710
1665	13936	69716
1666	13945	69712
1667	13954	69704
1668	13963	69700
1669	13971	69692
1670	13979	69682
1671	13988	69673
1672	13996	69665
